Source,Target,Type,Weight
mujeres,pariendo,Undirected,1
pariendo,conejas,Undirected,1
conejas,tema,Undirected,1
tema,aborto,Undirected,4
aborto,seguidoras,Undirected,1
seguidoras,xd,Undirected,1
xd,mazo,Undirected,1
mazo,dando,Undirected,1
banda,sinvergueza,Undirected,1
sinvergueza,asco,Undirected,1
asco,producen,Undirected,1
producen,rastreros,Undirected,1
rastreros,simpatías,Undirected,1
simpatías,importa,Undirected,1
importa,pueblo,Undirected,1
pueblo,mamá,Undirected,1
mamá,duraría,Undirected,1
duraría,inútil,Undirected,1
inútil,gallego,Undirected,1
gallego,menuda,Undirected,1
menuda,gentuza,Undirected,1
gentuza,palos,Undirected,1
palos,rueda,Undirected,1
rueda,chusma,Undirected,1
chusma,franquista,Undirected,1
parecería,lógico,Undirected,1
lógico,normal,Undirected,1
normal,conviertan,Undirected,1
conviertan,castilla,Undirected,1
león,templo,Undirected,1
templo,maldito,Undirected,1
maldito,llenen,Undirected,1
llenen,estatuas,Undirected,1
estatuas,franco,Undirected,1
franco,costará,Undirected,1
costará,gobernar,Undirected,1
gobernar,sumar,Undirected,1
sumar,valga,Undirected,1
valga,pena,Undirected,1
deberia,juzgada,Undirected,1
juzgada,compasión,Undirected,1
compasión,violación,Undirected,1
violación,atenuante,Undirected,1
anticonstitucional,cartilla,Undirected,1
cartilla,vacunabas,Undirected,1
vacunabas,podías,Undirected,1
podías,comprar,Undirected,1
dirigir,messi,Undirected,1
messi,espn,Undirected,1
candidata,vox,Undirected,3
vox,presidencia,Undirected,2
presidencia,principado,Undirected,1
principado,asturias,Undirected,1
león,gasta,Undirected,4
gasta,euros,Undirected,5
euros,año,Undirected,6
año,derivar,Undirected,4
derivar,abortos,Undirected,6
abortos,clínica,Undirected,2
clínica,privada,Undirected,4
privada,valladolid,Undirected,3
valladolid,provincias,Undirected,1
provincias,justifican,Undirected,2
justifican,médicos,Undirected,2
médicos,hospitales,Undirected,1
hospitales,públicos,Undirected,3
públicos,acogido,Undirected,1
acogido,objeción,Undirected,1
objeción,conciencia,Undirected,3
logro,gallardo,Undirected,2
rosa,tienes,Undirected,1
tienes,vergüenza,Undirected,2
vergüenza,x,Undirected,1
x,trabajo,Undirected,1
trabajo,sucio,Undirected,1
sucio,fascista,Undirected,1
fascista,pp,Undirected,1
pp,nazi,Undirected,1
nazi,vox,Undirected,1
vox,vivir,Undirected,1
vivir,vida,Undirected,2
vida,psoe,Undirected,2
psoe,xk,Undirected,1
xk,tuvieses,Undirected,1
tuvieses,habrías,Undirected,1
habrías,asumido,Undirected,1
asumido,resultado,Undirected,1
resultado,primarias,Undirected,1
primarias,qué,Undirected,1
qué,perdiste,Undirected,1
perdiste,secret,Undirected,1
secret,gral,Undirected,1
gral,psoe,Undirected,1
psoe,formar,Undirected,1
formar,partido,Undirected,1
partido,derechas,Undirected,3
derechas,upyd,Undirected,1
complicado,mamá,Undirected,1
mamá,amamos,Undirected,1
amamos,messi,Undirected,1
gallardo,yoamo,Undirected,1
yoamo,cristiano,Undirected,1
cristiano,hijo,Undirected,1
hijo,acaba,Undirected,1
acaba,romper,Undirected,1
romper,corazón,Undirected,1
verdades,barquero,Undirected,1
juega,riyadh,Undirected,2
riyadh,season,Undirected,12
season,marcelo,Undirected,2
marcelo,gallardo,Undirected,46
gallardo,cristiano,Undirected,15
cristiano,ronaldo,Undirected,52
dios,emoción,Undirected,1
emoción,verlos,Undirected,1
verlos,juntos,Undirected,1
juntos,vuelta,Undirected,1
vuelta,pity,Undirected,1
gallardo,recuerda,Undirected,1
recuerda,partido,Undirected,1
partido,rompimos,Undirected,1
rompimos,orto,Undirected,1
orto,bosteros,Undirected,1
bosteros,mierda,Undirected,1
junta,medidas,Undirected,1
medidas,aborto,Undirected,2
aborto,mejoran,Undirected,1
mejoran,prestaciones,Undirected,2
prestaciones,embarazadas,Undirected,2
nombre,sergio,Undirected,1
sergio,ramos,Undirected,3
ramos,aka,Undirected,1
aka,hombre,Undirected,1
sos,periodista,Undirected,1
periodista,sumando,Undirected,1
sumando,ola,Undirected,1
ola,progre,Undirected,1
progre,sentido,Undirected,1
sentido,mediocre,Undirected,1
mediocre,tantos,Undirected,1
aborto,suspende,Undirected,1
suspende,polenta,Undirected,1
polenta,despertate,Undirected,1
esperemos,mamá,Undirected,1
mamá,peruanos,Undirected,1
peruanos,venido,Undirected,1
venido,lima,Undirected,1
lima,protestar,Undirected,1
protestar,derechos,Undirected,1
derechos,vuelvan,Undirected,1
vuelvan,casas,Undirected,1
dirige,sr,Undirected,1
sr,marcelo,Undirected,1
das,sabiendo,Undirected,1
sabiendo,fuiste,Undirected,1
